FileName,inst#,actual,predicted,error,prediction
modules\core\src\main\java\org\apache\ignite\hadoop\HadoopMapReducePlan.java,1,2:valid,2:valid,,0.0
examples\src\main\java\org\apache\ignite\examples\ml\tutorial\Step_6_KNN.java,2,2:valid,2:valid,,0.0
modules\clients\src\test\java\org\apache\ignite\internal\jdbc2\JdbcErrorsSelfTest.java,3,2:valid,2:valid,,0.0
modules\core\src\test\java\org\apache\ignite\internal\processors\cache\binary\BinaryAtomicCacheLocalEntriesSelfTest.java,4,2:valid,2:valid,,0.0
modules\indexing\src\test\java\org\apache\ignite\internal\processors\query\IgniteSqlSchemaIndexingTest.java,5,2:valid,2:valid,,0.0
modules\core\src\main\java\org\apache\ignite\spi\failover\FailoverContext.java,6,2:valid,2:valid,,0.001
modules\clients\src\test\java\org\apache\ignite\jdbc\thin\JdbcThinStreamingAbstractSelfTest.java,7,2:valid,2:valid,,0.0
modules\core\src\main\java\org\apache\ignite\internal\binary\BinaryTreeMapWriteReplacer.java,8,2:valid,2:valid,,0.0
modules\core\src\test\java\org\apache\ignite\spi\checkpoint\cache\package-info.java,9,2:valid,2:valid,,0.0
modules\aws\src\test\java\org\apache\ignite\spi\discovery\tcp\ipfinder\s3\TcpDiscoveryS3IpFinderSSEAlgorithmSelfTest.java,10,2:valid,2:valid,,0.0
modules\core\src\test\java\org\apache\ignite\loadtests\colocation\GridTestMain.java,11,2:valid,2:valid,,0.0
examples\src\main\java\org\apache\ignite\examples\binary\package-info.java,12,2:valid,2:valid,,0.0
modules\cassandra\store\src\test\java\org\apache\ignite\tests\utils\TestCacheSession.java,13,2:valid,2:valid,,0.0
modules\core\src\test\java\org\apache\ignite\internal\processors\cache\persistence\baseline\IgniteStableBaselineCachePutAllFailoverTest.java,14,2:valid,2:valid,,0.0
modules\core\src\test\java\org\apache\ignite\internal\processors\cache\GridCacheAtomicMessageCountSelfTest.java,15,2:valid,2:valid,,0.0
modules\core\src\test\java\org\apache\ignite\jvmtest\RegExpTest.java,16,2:valid,2:valid,,0.0
modules\core\src\main\java\org\apache\ignite\services\ServiceContext.java,17,2:valid,2:valid,,0.0
modules\core\src\main\java\org\apache\ignite\internal\IgniteNeedReconnectException.java,18,2:valid,2:valid,,0.0
modules\core\src\main\java\org\apache\ignite\internal\util\nio\GridNioSession.java,19,2:valid,2:valid,,0.0
modules\ml\src\main\java\org\apache\ignite\ml\preprocessing\minmaxscaling\MinMaxScalerTrainer.java,20,2:valid,2:valid,,0.0
