FileName,inst#,actual,predicted,error,prediction
cayenne-server\src\test\java\org\apache\cayenne\testdo\numeric_types\auto\_BigDecimalEntity.java,1,2:valid,2:valid,,0.0
cayenne-crypto\src\main\java\org\apache\cayenne\crypto\map\ColumnMapper.java,2,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\access\DataContextRelationshipQueryIT.java,3,2:valid,2:valid,,0.0
modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\BaseViewEntityAction.java,4,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\access\StackLookupParentAttachmentStrategy.java,5,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\access\DataContextDisjointByIdPrefetch_ExtrasIT.java,6,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\access\translator\select\TstQueryAssembler.java,7,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\map\event\AttributeEvent.java,8,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\testdo\numeric_types\auto\_DecimalPKTest1.java,9,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\exp\PropertyTest.java,10,2:valid,2:valid,,0.0
modeler\cayenne-modeler\src\main\java\org\apache\cayenne\swing\components\textpane\syntax\EJBQLSyntaxConstant.java,11,2:valid,2:valid,,0.0
tutorials\tutorial-rop-server\src\main\java\org\apache\cayenne\tutorial\persistent\Artist.java,12,2:valid,2:valid,,0.001
cayenne-commitlog\src\main\java\org\apache\cayenne\commitlog\CommitLogModule.java,13,2:valid,2:valid,,0.0
cayenne-joda\src\test\java\org\apache\cayenne\joda\db\LocalTimeTestEntity.java,14,2:valid,2:valid,,0.0
cayenne-client\src\test\java\org\apache\cayenne\remote\RelationshipChangeIT.java,15,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\util\RegexUtilTest.java,16,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\map\DbKeyGenerator.java,17,2:valid,2:valid,,0.0
tutorials\tutorial-rop-server-http2\src\main\java\org\apache\cayenne\tutorial\persistent\client\Gallery.java,18,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\testdo\inheritance_people\auto\_CustomerRepresentative.java,19,2:valid,2:valid,,0.0
modeler\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\util\path\HomePathTrimmer.java,20,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\configuration\xml\DbKeyGeneratorHandler.java,21,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\testdo\java8\LocalTimeTestEntity.java,22,2:valid,2:valid,,0.0
cayenne-web\src\main\java\org\apache\cayenne\configuration\web\RequestHandler.java,23,2:valid,2:valid,,0.0
cayenne-crypto\src\main\java\org\apache\cayenne\crypto\transformer\bytes\HeaderDecryptor.java,24,2:valid,2:valid,,0.0
cayenne-dbsync\src\main\java\org\apache\cayenne\dbsync\merge\DbEntityMerger.java,25,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\access\DataContextFlattenedAttributesIT.java,26,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\dba\TypesHandler.java,27,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\annotation\PreUpdate.java,28,2:valid,2:valid,,0.0
cayenne-dbsync\src\main\java\org\apache\cayenne\dbsync\reverse\dbload\ExportedKeyLoader.java,29,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\access\types\DefaultValueObjectTypeRegistry.java,30,2:valid,2:valid,,0.0
cayenne-dbsync\src\test\java\org\apache\cayenne\dbsync\merge\MergeCase.java,31,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\exp\ParsedExpQualifierCompatIT.java,32,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\template\parser\SQLTemplateParser.java,33,2:valid,2:valid,,0.0
cayenne-server\src\test\java\org\apache\cayenne\testdo\mixed_persistence_strategy\auto\_MixedPersistenceStrategy2.java,34,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\cache\QueryCache.java,35,2:valid,2:valid,,0.0
cayenne-server\src\main\java\org\apache\cayenne\exp\parser\AggregateConditionNode.java,36,2:valid,2:valid,,0.0
