inst#,actual,predicted,error,prediction
1,2:valid,2:valid,,1
2,2:valid,2:valid,,0.957
3,2:valid,2:valid,,1
4,2:valid,2:valid,,0.957
5,2:valid,2:valid,,1
6,2:valid,2:valid,,1
7,2:valid,2:valid,,1
8,2:valid,2:valid,,1
9,2:valid,2:valid,,1
10,2:valid,2:valid,,1
11,2:valid,2:valid,,1
12,2:valid,2:valid,,1
13,2:valid,2:valid,,1
14,2:valid,2:valid,,0.997
15,2:valid,2:valid,,0.758
16,2:valid,2:valid,,1
17,2:valid,2:valid,,1
18,2:valid,2:valid,,1
19,2:valid,2:valid,,1
20,2:valid,2:valid,,1
21,2:valid,2:valid,,1
22,2:valid,2:valid,,1
23,2:valid,2:valid,,0.994
24,2:valid,2:valid,,1
25,2:valid,2:valid,,0.524
26,2:valid,2:valid,,1
27,2:valid,2:valid,,1
28,2:valid,2:valid,,1
29,2:valid,2:valid,,1
30,2:valid,2:valid,,1
31,2:valid,2:valid,,0.988
32,2:valid,2:valid,,1
33,2:valid,2:valid,,1
34,2:valid,2:valid,,1
35,2:valid,2:valid,,1
36,2:valid,2:valid,,0.997
37,2:valid,2:valid,,0.997
38,2:valid,2:valid,,1
39,2:valid,2:valid,,0.999
40,2:valid,2:valid,,1
41,2:valid,2:valid,,1
42,2:valid,2:valid,,1
43,2:valid,2:valid,,1
44,2:valid,2:valid,,1
45,2:valid,2:valid,,1
46,2:valid,2:valid,,1
47,2:valid,2:valid,,1
48,2:valid,2:valid,,0.927
49,2:valid,2:valid,,1
50,2:valid,2:valid,,1
51,2:valid,2:valid,,1
52,2:valid,2:valid,,1
53,2:valid,2:valid,,1
54,2:valid,2:valid,,1
55,2:valid,2:valid,,0.995
56,2:valid,2:valid,,1
57,2:valid,2:valid,,1
58,2:valid,2:valid,,0.992
59,2:valid,2:valid,,1
60,2:valid,2:valid,,0.986
61,2:valid,2:valid,,1
62,2:valid,2:valid,,0.999
63,2:valid,2:valid,,1
64,2:valid,2:valid,,1
65,2:valid,2:valid,,0.996
66,1:bugged,2:valid,+,0.872
67,2:valid,2:valid,,1
68,1:bugged,2:valid,+,0.754
69,2:valid,2:valid,,1
70,2:valid,2:valid,,1
71,2:valid,2:valid,,1
72,2:valid,2:valid,,1
73,2:valid,2:valid,,1
74,2:valid,2:valid,,1
75,2:valid,2:valid,,1
76,2:valid,2:valid,,0.999
77,2:valid,2:valid,,1
78,2:valid,2:valid,,1
79,2:valid,2:valid,,1
80,2:valid,2:valid,,0.999
81,2:valid,2:valid,,0.989
82,2:valid,2:valid,,1
83,2:valid,2:valid,,1
84,2:valid,2:valid,,1
85,2:valid,2:valid,,1
86,2:valid,2:valid,,1
87,2:valid,2:valid,,1
88,2:valid,2:valid,,1
89,2:valid,2:valid,,1
90,2:valid,2:valid,,1
91,2:valid,2:valid,,1
92,2:valid,2:valid,,1
93,2:valid,2:valid,,1
94,2:valid,2:valid,,1
95,2:valid,2:valid,,1
96,2:valid,2:valid,,0.999
97,2:valid,2:valid,,1
98,2:valid,2:valid,,0.994
99,2:valid,2:valid,,1
100,2:valid,2:valid,,0.938
101,2:valid,2:valid,,1
102,2:valid,2:valid,,1
103,2:valid,2:valid,,1
104,2:valid,2:valid,,1
105,2:valid,2:valid,,1
106,2:valid,2:valid,,1
107,2:valid,2:valid,,1
108,2:valid,2:valid,,1
109,2:valid,2:valid,,0.992
110,2:valid,2:valid,,1
111,2:valid,2:valid,,1
112,2:valid,2:valid,,0.999
113,2:valid,2:valid,,1
114,2:valid,2:valid,,0.988
115,2:valid,2:valid,,1
116,2:valid,2:valid,,0.989
117,2:valid,2:valid,,1
118,2:valid,2:valid,,0.997
119,2:valid,2:valid,,1
120,2:valid,2:valid,,1
121,1:bugged,2:valid,+,0.906
122,2:valid,2:valid,,1
123,2:valid,2:valid,,1
124,2:valid,2:valid,,1
125,2:valid,2:valid,,1
126,2:valid,2:valid,,1
127,2:valid,2:valid,,1
128,2:valid,2:valid,,1
129,2:valid,2:valid,,1
130,2:valid,2:valid,,0.998
131,2:valid,2:valid,,1
132,2:valid,2:valid,,0.93
133,2:valid,2:valid,,1
134,2:valid,2:valid,,1
135,2:valid,2:valid,,1
136,2:valid,2:valid,,0.987
137,2:valid,2:valid,,1
138,2:valid,2:valid,,1
139,2:valid,2:valid,,0.999
140,2:valid,2:valid,,1
141,2:valid,2:valid,,1
142,2:valid,2:valid,,1
143,2:valid,2:valid,,1
144,2:valid,2:valid,,1
145,2:valid,2:valid,,0.999
146,2:valid,2:valid,,1
147,2:valid,2:valid,,1
148,2:valid,2:valid,,1
149,2:valid,2:valid,,1
150,2:valid,2:valid,,1
151,1:bugged,2:valid,+,0.903
152,2:valid,2:valid,,1
153,2:valid,2:valid,,1
154,2:valid,2:valid,,1
155,2:valid,2:valid,,0.994
156,2:valid,2:valid,,1
157,2:valid,2:valid,,1
158,1:bugged,2:valid,+,0.999
159,2:valid,2:valid,,0.999
160,2:valid,2:valid,,1
161,2:valid,2:valid,,1
162,2:valid,2:valid,,1
163,2:valid,2:valid,,1
164,2:valid,2:valid,,1
165,2:valid,2:valid,,1
166,1:bugged,2:valid,+,0.798
167,2:valid,2:valid,,1
168,2:valid,2:valid,,1
169,2:valid,2:valid,,0.991
170,2:valid,2:valid,,1
171,2:valid,2:valid,,0.995
172,2:valid,2:valid,,0.957
173,2:valid,1:bugged,+,0.582
174,2:valid,2:valid,,1
175,2:valid,2:valid,,0.771
176,2:valid,2:valid,,1
177,2:valid,2:valid,,1
178,2:valid,2:valid,,0.716
179,2:valid,2:valid,,0.983
180,2:valid,2:valid,,1
181,2:valid,2:valid,,1
182,2:valid,2:valid,,1
183,2:valid,2:valid,,1
184,2:valid,2:valid,,1
185,2:valid,2:valid,,1
186,2:valid,2:valid,,1
