inst#,actual,predicted,error,prediction
1,2:valid,2:valid,,0.997
2,2:valid,2:valid,,1
3,2:valid,2:valid,,0.994
4,2:valid,2:valid,,0.992
5,2:valid,2:valid,,0.995
6,2:valid,2:valid,,1
7,2:valid,2:valid,,1
8,2:valid,2:valid,,1
9,2:valid,2:valid,,1
10,2:valid,2:valid,,1
11,2:valid,2:valid,,0.999
12,2:valid,2:valid,,0.999
13,2:valid,2:valid,,1
14,2:valid,2:valid,,0.996
15,2:valid,2:valid,,1
16,2:valid,2:valid,,1
17,2:valid,2:valid,,0.998
18,2:valid,2:valid,,1
19,2:valid,2:valid,,0.998
20,2:valid,2:valid,,0.997
21,2:valid,2:valid,,0.989
22,2:valid,2:valid,,0.95
23,2:valid,2:valid,,1
24,2:valid,2:valid,,0.989
25,2:valid,2:valid,,1
26,2:valid,2:valid,,1
27,2:valid,2:valid,,0.895
28,2:valid,2:valid,,0.998
29,2:valid,2:valid,,0.997
30,2:valid,2:valid,,1
31,2:valid,2:valid,,0.999
32,2:valid,2:valid,,1
33,2:valid,2:valid,,0.993
34,2:valid,2:valid,,1
35,2:valid,2:valid,,1
36,2:valid,2:valid,,1
37,2:valid,2:valid,,1
38,2:valid,2:valid,,1
39,2:valid,2:valid,,1
40,2:valid,2:valid,,0.999
41,2:valid,2:valid,,1
42,2:valid,2:valid,,0.984
43,2:valid,2:valid,,0.992
44,2:valid,2:valid,,1
45,2:valid,2:valid,,1
46,2:valid,2:valid,,0.991
47,2:valid,2:valid,,1
48,2:valid,2:valid,,1
49,2:valid,2:valid,,1
50,2:valid,2:valid,,1
51,2:valid,2:valid,,0.994
52,2:valid,2:valid,,0.999
53,2:valid,2:valid,,0.999
54,2:valid,2:valid,,0.99
55,2:valid,2:valid,,0.992
56,2:valid,2:valid,,1
57,2:valid,2:valid,,0.999
58,2:valid,2:valid,,1
59,2:valid,2:valid,,1
60,2:valid,2:valid,,1
61,2:valid,2:valid,,1
62,2:valid,2:valid,,1
63,2:valid,2:valid,,1
64,2:valid,2:valid,,0.996
65,2:valid,2:valid,,0.997
66,2:valid,2:valid,,1
67,2:valid,2:valid,,1
68,2:valid,2:valid,,1
69,2:valid,2:valid,,0.999
70,2:valid,2:valid,,0.999
71,2:valid,2:valid,,0.999
72,2:valid,2:valid,,1
73,2:valid,2:valid,,1
74,2:valid,2:valid,,1
75,2:valid,2:valid,,1
76,2:valid,2:valid,,0.971
77,2:valid,2:valid,,1
78,2:valid,2:valid,,1
79,2:valid,2:valid,,0.999
80,2:valid,2:valid,,1
81,2:valid,2:valid,,1
82,2:valid,2:valid,,0.999
83,2:valid,2:valid,,1
84,2:valid,2:valid,,1
85,2:valid,2:valid,,0.999
86,2:valid,2:valid,,1
87,2:valid,2:valid,,1
88,2:valid,2:valid,,1
89,2:valid,2:valid,,0.984
90,2:valid,2:valid,,1
91,2:valid,2:valid,,1
92,2:valid,2:valid,,0.992
93,2:valid,2:valid,,1
94,2:valid,2:valid,,0.999
95,2:valid,2:valid,,0.999
96,2:valid,2:valid,,0.987
97,2:valid,2:valid,,1
98,2:valid,2:valid,,1
99,2:valid,2:valid,,0.994
100,2:valid,2:valid,,0.981
101,2:valid,2:valid,,0.998
102,2:valid,2:valid,,1
