0,P,0.9945442429113358
2,P,0.0024154079323587
11,P,0.001019000251798152
7,P,5.634663789070352E-4
14,P,5.634663789070352E-4
12,P,3.57838222953526E-4
6,P,1.8136015240938818E-4
5,10,P,1.630400404235191E-4
9,10,P,4.076001010703829E-5
10,15,P,4.0760010028474364E-5
10,16,P,2.4154080042383233E-5
3,10,P,1.7195629264846357E-5
1,10,P,1.335624011208163E-5
4,5,P,1.33562401047513E-5
5,13,P,1.3356239600208638E-5
5,8,P,1.0920355784739857E-5
9,13,P,3.339060027741494E-6
4,15,P,3.3373160052628637E-6
13,15,P,3.337316005261179E-6
8,15,P,2.730088982521041E-6
4,16,P,1.9787022385101015E-6
13,16,P,1.978702238508683E-6
8,16,P,1.6177403640122103E-6
