0,1,P,0.6733609057921619
1,22,P,0.05795319274914747
1,9,P,0.05795319274732129
1,19,P,0.034342632733936916
1,5,P,0.024449003191160838
1,14,P,0.024449003191157708
1,7,P,0.015526725593741787
1,12,P,0.013132837802087237
1,3,P,0.013132837794779143
1,20,P,0.013132837471920318
1,21,P,0.010038635128719848
1,8,P,0.00898090165027177
1,13,P,0.008980901379744435
1,18,P,0.006824152202750906
1,11,P,0.0068241520589660855
1,6,P,0.00631841916016578
1,15,P,0.005882486939299324
1,17,P,0.005502835375940453
1,23,P,0.004873756001299957
1,16,P,0.00437376758253599
1,4,P,0.0039668234528908225
