inst#,actual,predicted,error,prediction
1,2:valid,2:valid,,1
2,2:valid,2:valid,,1
3,2:valid,2:valid,,1
4,2:valid,2:valid,,0.995
5,1:bugged,2:valid,+,0.959
6,2:valid,2:valid,,1
7,2:valid,2:valid,,0.97
8,2:valid,2:valid,,1
9,2:valid,2:valid,,1
10,2:valid,2:valid,,0.997
11,2:valid,2:valid,,1
12,2:valid,2:valid,,0.999
13,2:valid,2:valid,,1
14,2:valid,2:valid,,1
15,2:valid,2:valid,,1
16,2:valid,2:valid,,1
17,1:bugged,2:valid,+,0.996
18,2:valid,2:valid,,0.988
19,2:valid,2:valid,,1
20,2:valid,2:valid,,1
21,1:bugged,2:valid,+,0.992
22,2:valid,2:valid,,0.987
23,2:valid,2:valid,,1
24,2:valid,2:valid,,0.994
25,2:valid,2:valid,,0.999
26,2:valid,2:valid,,1
27,2:valid,2:valid,,1
28,2:valid,2:valid,,0.998
29,2:valid,2:valid,,1
30,2:valid,2:valid,,1
31,2:valid,2:valid,,1
32,2:valid,2:valid,,0.988
33,2:valid,2:valid,,0.973
34,2:valid,2:valid,,1
35,2:valid,2:valid,,1
36,2:valid,2:valid,,0.998
37,2:valid,2:valid,,1
38,1:bugged,2:valid,+,0.997
39,2:valid,2:valid,,1
40,2:valid,2:valid,,0.996
41,2:valid,2:valid,,1
42,2:valid,2:valid,,1
43,2:valid,2:valid,,1
44,2:valid,2:valid,,1
45,2:valid,2:valid,,0.992
46,2:valid,2:valid,,0.995
47,2:valid,2:valid,,1
48,2:valid,2:valid,,1
49,2:valid,2:valid,,1
50,2:valid,2:valid,,1
51,1:bugged,2:valid,+,0.999
52,2:valid,2:valid,,0.999
53,2:valid,2:valid,,1
54,2:valid,2:valid,,1
55,2:valid,2:valid,,0.999
56,2:valid,2:valid,,0.992
57,2:valid,2:valid,,1
58,2:valid,2:valid,,1
59,2:valid,2:valid,,1
60,2:valid,2:valid,,0.995
61,1:bugged,2:valid,+,0.718
62,2:valid,2:valid,,1
63,2:valid,2:valid,,1
64,2:valid,2:valid,,1
65,2:valid,2:valid,,1
66,2:valid,2:valid,,1
67,2:valid,2:valid,,1
68,2:valid,2:valid,,0.994
69,2:valid,2:valid,,1
70,2:valid,2:valid,,1
71,2:valid,2:valid,,1
72,2:valid,2:valid,,0.991
73,2:valid,2:valid,,1
74,2:valid,2:valid,,1
75,2:valid,2:valid,,1
76,2:valid,2:valid,,1
77,2:valid,2:valid,,0.997
78,2:valid,2:valid,,1
79,2:valid,2:valid,,1
80,2:valid,2:valid,,1
81,1:bugged,2:valid,+,0.934
82,2:valid,2:valid,,1
83,2:valid,2:valid,,1
84,2:valid,2:valid,,0.999
85,2:valid,2:valid,,0.999
86,2:valid,2:valid,,1
87,2:valid,2:valid,,0.999
88,2:valid,2:valid,,1
89,2:valid,2:valid,,1
90,2:valid,2:valid,,0.999
91,2:valid,2:valid,,1
92,2:valid,2:valid,,1
93,2:valid,2:valid,,0.975
94,2:valid,2:valid,,1
95,2:valid,2:valid,,1
96,2:valid,2:valid,,1
97,2:valid,2:valid,,1
98,2:valid,2:valid,,1
99,2:valid,2:valid,,1
100,2:valid,2:valid,,1
101,2:valid,2:valid,,1
102,2:valid,2:valid,,1
103,2:valid,2:valid,,1
104,2:valid,2:valid,,1
105,2:valid,2:valid,,0.991
106,2:valid,2:valid,,0.838
107,2:valid,2:valid,,1
108,2:valid,2:valid,,1
109,1:bugged,2:valid,+,0.978
110,2:valid,2:valid,,1
111,2:valid,2:valid,,1
112,2:valid,2:valid,,0.995
113,2:valid,2:valid,,1
114,2:valid,2:valid,,1
115,2:valid,2:valid,,0.998
116,2:valid,2:valid,,1
117,2:valid,2:valid,,0.999
118,2:valid,2:valid,,1
119,2:valid,2:valid,,1
120,2:valid,2:valid,,0.985
121,2:valid,2:valid,,1
122,1:bugged,2:valid,+,0.995
123,2:valid,2:valid,,1
124,2:valid,2:valid,,0.995
125,2:valid,2:valid,,1
126,2:valid,2:valid,,0.999
127,2:valid,2:valid,,0.998
128,2:valid,2:valid,,1
129,2:valid,2:valid,,1
130,2:valid,2:valid,,0.989
131,2:valid,2:valid,,1
132,2:valid,2:valid,,0.997
133,2:valid,2:valid,,1
134,2:valid,2:valid,,1
135,2:valid,2:valid,,0.989
136,2:valid,2:valid,,1
137,2:valid,2:valid,,1
138,2:valid,2:valid,,0.953
139,2:valid,2:valid,,1
140,2:valid,2:valid,,1
141,2:valid,2:valid,,1
142,2:valid,2:valid,,1
143,2:valid,2:valid,,1
144,2:valid,2:valid,,0.994
145,2:valid,2:valid,,0.999
146,2:valid,2:valid,,1
147,2:valid,2:valid,,0.996
148,2:valid,2:valid,,0.99
149,2:valid,2:valid,,1
150,2:valid,2:valid,,1
151,2:valid,2:valid,,0.511
152,2:valid,2:valid,,1
153,2:valid,2:valid,,1
154,1:bugged,2:valid,+,0.997
155,2:valid,2:valid,,1
156,2:valid,2:valid,,0.93
157,2:valid,2:valid,,1
158,2:valid,2:valid,,1
159,2:valid,2:valid,,1
160,1:bugged,2:valid,+,0.997
161,2:valid,2:valid,,1
162,2:valid,2:valid,,1
163,2:valid,2:valid,,1
164,2:valid,2:valid,,1
165,2:valid,2:valid,,1
166,2:valid,2:valid,,1
167,2:valid,2:valid,,0.999
168,2:valid,2:valid,,1
169,2:valid,2:valid,,0.998
170,2:valid,2:valid,,0.998
171,2:valid,2:valid,,1
172,2:valid,2:valid,,0.983
173,2:valid,2:valid,,0.998
174,2:valid,2:valid,,1
175,2:valid,2:valid,,0.964
176,1:bugged,2:valid,+,1
177,2:valid,2:valid,,0.973
178,2:valid,2:valid,,1
179,2:valid,2:valid,,0.998
180,2:valid,2:valid,,0.996
181,2:valid,2:valid,,0.996
182,2:valid,2:valid,,0.999
183,1:bugged,2:valid,+,0.992
184,2:valid,2:valid,,1
185,2:valid,2:valid,,1
186,2:valid,2:valid,,0.929
187,2:valid,2:valid,,1
188,2:valid,2:valid,,1
189,2:valid,2:valid,,0.992
190,2:valid,2:valid,,1
191,1:bugged,2:valid,+,0.999
192,2:valid,2:valid,,1
193,2:valid,2:valid,,1
194,2:valid,2:valid,,0.985
195,2:valid,2:valid,,1
196,2:valid,2:valid,,1
197,2:valid,2:valid,,1
198,2:valid,2:valid,,0.992
199,2:valid,2:valid,,1
200,2:valid,2:valid,,0.995
201,2:valid,2:valid,,0.99
202,2:valid,2:valid,,0.999
203,2:valid,2:valid,,1
204,2:valid,2:valid,,1
205,2:valid,2:valid,,0.987
206,2:valid,2:valid,,1
207,2:valid,2:valid,,0.998
208,2:valid,2:valid,,1
209,2:valid,2:valid,,1
210,2:valid,2:valid,,0.785
211,1:bugged,2:valid,+,0.999
212,2:valid,2:valid,,1
213,1:bugged,2:valid,+,0.781
214,2:valid,2:valid,,1
215,2:valid,2:valid,,1
216,2:valid,2:valid,,1
217,2:valid,2:valid,,0.996
218,2:valid,2:valid,,1
219,2:valid,2:valid,,1
220,2:valid,2:valid,,1
221,1:bugged,2:valid,+,0.926
222,2:valid,2:valid,,0.858
223,2:valid,2:valid,,1
224,2:valid,2:valid,,1
225,1:bugged,2:valid,+,0.969
226,2:valid,2:valid,,1
227,2:valid,2:valid,,1
228,2:valid,2:valid,,1
229,2:valid,2:valid,,1
230,2:valid,2:valid,,1
231,2:valid,2:valid,,0.967
232,2:valid,2:valid,,1
233,2:valid,2:valid,,1
234,2:valid,2:valid,,0.998
235,2:valid,2:valid,,1
236,2:valid,2:valid,,1
237,2:valid,2:valid,,1
238,2:valid,2:valid,,1
239,2:valid,2:valid,,0.987
240,2:valid,2:valid,,1
241,1:bugged,2:valid,+,0.968
242,1:bugged,2:valid,+,0.98
243,2:valid,2:valid,,1
244,2:valid,2:valid,,1
245,2:valid,2:valid,,1
246,2:valid,2:valid,,1
247,2:valid,2:valid,,0.999
248,2:valid,2:valid,,1
249,2:valid,2:valid,,1
250,2:valid,2:valid,,1
251,2:valid,2:valid,,1
252,2:valid,2:valid,,0.999
253,2:valid,2:valid,,1
254,1:bugged,2:valid,+,0.9
255,2:valid,2:valid,,0.936
256,2:valid,2:valid,,0.999
257,2:valid,2:valid,,0.991
258,2:valid,2:valid,,1
259,1:bugged,2:valid,+,1
260,2:valid,2:valid,,0.987
261,1:bugged,2:valid,+,0.947
262,2:valid,2:valid,,1
263,2:valid,2:valid,,0.992
264,2:valid,2:valid,,0.991
265,2:valid,2:valid,,1
266,2:valid,2:valid,,1
267,2:valid,2:valid,,1
